Date,Nitrogen_Dioxide,Ozone,PM10_Particulate,PM2-5_Particulate
101201000,42.3,32.6,23,15.5
101201001,33.8,35.3,21.2,13.5
101201002,28.8,43.2,19.6,12.7
101201003,27.3,42.4,18.3,11.9
101201004,29.4,40.1,18.1,12
101201005,38.3,33.8,18.7,12.2
101201006,53.7,26.7,21.5,14.5
101201007,66.2,22.4,23.4,15
101201008,69.5,21.5,25.3,14.9
101201009,67.1,23.7,26.6,14.8
101201010,62.3,28,26.7,14.6
101201011,60.5,29.6,28.1,14.8
101201012,59.3,30,28,14.6
101201013,59.7,30.6,27.7,13.8
101201014,60.8,30.6,26.3,14.2
101201015,66.1,27.8,27.2,14.3
101201016,72.6,23.7,28,15.5
101201017,75,22.1,29.3,16.9
101201018,74.8,22.2,30.2,17.9
101201019,69.4,23.6,30,17.2
101201020,62.3,25.8,28.5,16.7
101201021,55.9,28.3,26.1,15.5
101201022,51.4,30.5,24.4,15
101201023,45.8,33.8,23.1,14.2
102201000,68.2,20.3,34.6,27.4
102201001,60.7,21.1,32.2,27.6
102201002,54,24,30.5,26.1
102201003,50.9,24.5,29.4,25.1
102201004,51.9,23.4,28.8,24.2
102201005,60.7,19.6,29.8,25.2
102201006,77.4,15,33.6,28.6
102201007,92.3,12.1,37.8,30.7
102201008,95.6,12.6,42.2,31.7
102201009,90.9,15.8,45.7,32
102201010,84.4,20,49.2,31.4
102201011,79.1,23.6,49.6,29.9
102201012,74.8,25.8,47.6,30
102201013,72.4,27.4,46.3,28.9
102201014,72.5,26.7,44.6,28.1
102201015,76.8,24.8,44.7,27.9
102201016,82.5,21.7,43.1,28.1
102201017,89.7,17.2,42,29.2
102201018,90.6,16.8,41,30.3
102201019,88.3,16.7,41.1,31.3
102201020,83,18.2,40.6,29.8
102201021,78.2,19,38.6,29.2
102201022,75.1,20.3,38,29.8
102201023,72.2,21,36.7,28.1
103201000,47.5,37.5,17.5,11
103201001,39.5,42.9,16.1,10
103201002,32.9,48.4,14.4,9.2
103201003,30.2,49.2,13.9,9.2
103201004,33,46.9,14,9.7
103201005,42,41,15.5,10.8
103201006,58.2,33,18.6,12.4
103201007,67,30.9,22.6,14.1
103201008,64.6,34.4,24.8,13.7
103201009,61.6,38.8,26.4,13.4
103201010,58.9,42.5,26.1,12
103201011,56.9,44.5,26.3,12.1
103201012,56.4,45.8,25.6,12
103201013,56.6,46.8,24.8,12.3
103201014,58.1,46.9,24.3,12
103201015,59.4,46.3,24.3,13.5
103201016,61.8,43.9,23.7,13.8
103201017,66.9,39.9,24,13.1
103201018,71.4,34.9,22.7,13.6
103201019,69.6,33.4,22.9,13.6
103201020,65.7,33.3,23.2,14.1
103201021,62.1,33.2,23,13.6
103201022,60,33.2,22.4,14.1
103201023,54.1,35.1,20.6,12.1
104201000,49.7,36.2,24.6,18.7
104201001,44.4,38.3,23.4,18.9
